Марка;Дата публикации;Цена, тенге;Краткое описание;Город;Ссылка
Tesla Model 3;8 мая;39500000;2020 г., седан, 0.1 л, электричество, КПП автомат, 48 км, синий, металлик, В наличии в Алматы, синяя на белом салоне!...;Алматы;https://kolesa.kz/a/show/103377992
Tesla Model 3;8 мая;39500000;2020 г., седан, 0.1 л, электричество, КПП автомат, белый, металлик, В наличии в Алматы! Белая на белом Полноприводная...;Алматы;https://kolesa.kz/a/show/103377405
Tesla Model 3;7 мая;16000000;2019 г., седан, 0.1 л, электричество, КПП автомат, 9 961 км, синий, металлик, Белый Салон! Автомобиль НА Заказ! Мечты...;Алматы;https://kolesa.kz/a/show/102770828
Tesla Model S;8 мая;26500000;2014 г., седан, 0.1 л, электричество, КПП автомат, 40 000 км, серый, металлик, тонировка, панорамная крыша, спойлер, л...;Алматы;https://kolesa.kz/a/show/100033690
Tesla Model 3;7 мая;33100000;2019 г., седан, 1 л, электричество, КПП автомат, белый, литые диски, тонировка, панорамная крыша, дневные ходовые огни...;Алматы;https://kolesa.kz/a/show/104270859
Tesla Model S;7 мая;26500000;2014 г., седан, 0.1 л, электричество, КПП робот, 14 000 км, белый, металлик, P85D Самая заряженная версия! Автопилот,...;Алматы;https://kolesa.kz/a/show/102810324
Tesla Model S;7 мая;48000000;2017 г., хэтчбек, 0.1 л, электричество, КПП типтроник, белый, Машина в идеальном состоянии. Самая полная комплектация....;Алматы;https://kolesa.kz/a/show/96322041
Tesla Model S;4 мая;15500000;2013 г., седан, 1 л, электричество, КПП вариатор, 95 000 км, Model S performance. С 17 апреля 2020 года электромобили...;Алматы;https://kolesa.kz/a/show/104083703
Tesla Model 3;3 мая;34500000;2020 г., седан, 5 л, электричество, КПП автомат, белый, металлик, Tesla Model 3 Performance. Европейская версия (пробе...;Алматы;https://kolesa.kz/a/show/100467763
Tesla Model S;2 мая;26000000;2014 г., седан, 0.1 л, электричество, КПП типтроник, 33 000 км, серый, металлик, тонировка, люк, панорамная крыша, спо...;Алматы;https://kolesa.kz/a/show/90273355
Tesla Model X;2 мая;66300000;2018 г., кроссовер, 3 л, электричество, КПП типтроник, синий, металлик, литые диски, тонировка, панорамная крыша, спой...;Алматы;https://kolesa.kz/a/show/46020756
Tesla Model 3;1 мая;16000000;2020 г., седан, 0.1 л, электричество, КПП автомат, 4 642 км, красный, металлик, кожа, Автомобиль НА Заказ! Именно Этот...;Алматы;https://kolesa.kz/a/show/104905299
Tesla Model S;1 мая;26000000;2015 г., седан, электричество, КПП типтроник, 50 000 км, серый, металлик, Автомобиль в идеальном состоянии. Самая полн...;Алматы;https://kolesa.kz/a/show/103271984
